Filename,Case_Bits,Variation_ID,Soil_Er,Soil_Cond,N_Traces
simulation_4spheres_0000_v0,0000,0,6.4712,0.007767,85
simulation_4spheres_0000_v1,0000,1,8.4336,0.004564,85
simulation_4spheres_0000_v2,0000,2,8.1166,0.016590,85
simulation_4spheres_0001_v0,0001,0,6.1730,0.008555,85
simulation_4spheres_0001_v1,0001,1,4.8643,0.001085,85
simulation_4spheres_0001_v2,0001,2,5.8514,0.007972,85
simulation_4spheres_0010_v0,0010,0,8.5936,0.003043,85
simulation_4spheres_0010_v1,0010,1,4.5824,0.015873,85
simulation_4spheres_0010_v2,0010,2,8.7386,0.008925,85
simulation_4spheres_0011_v0,0011,0,4.2527,0.018046,85
simulation_4spheres_0011_v1,0011,1,7.5161,0.013868,85
simulation_4spheres_0011_v2,0011,2,8.4298,0.014501,85
simulation_4spheres_0100_v0,0100,0,3.8390,0.005925,85
simulation_4spheres_0100_v1,0100,1,4.3903,0.015791,85
simulation_4spheres_0100_v2,0100,2,4.0936,0.005053,85
simulation_4spheres_0101_v0,0101,0,6.2667,0.018912,85
simulation_4spheres_0101_v1,0101,1,7.7323,0.018441,85
simulation_4spheres_0101_v2,0101,2,6.3254,0.010077,85
simulation_4spheres_0110_v0,0110,0,3.9398,0.010014,85
simulation_4spheres_0110_v1,0110,1,5.0376,0.005398,85
simulation_4spheres_0110_v2,0110,2,4.0607,0.007875,85
simulation_4spheres_0111_v0,0111,0,8.9592,0.001139,85
simulation_4spheres_0111_v1,0111,1,4.5826,0.004093,85
simulation_4spheres_0111_v2,0111,2,3.4802,0.013605,85
simulation_4spheres_1000_v0,1000,0,5.7684,0.011507,85
simulation_4spheres_1000_v1,1000,1,4.4307,0.002117,85
simulation_4spheres_1000_v2,1000,2,5.6972,0.018369,85
simulation_4spheres_1001_v0,1001,0,4.5352,0.013937,85
simulation_4spheres_1001_v1,1001,1,8.5681,0.003324,85
simulation_4spheres_1001_v2,1001,2,8.2267,0.013662,85
simulation_4spheres_1010_v0,1010,0,4.4576,0.006956,85
simulation_4spheres_1010_v1,1010,1,8.5065,0.012069,85
simulation_4spheres_1010_v2,1010,2,5.7621,0.013106,85
simulation_4spheres_1011_v0,1011,0,6.6126,0.017817,85
simulation_4spheres_1011_v1,1011,1,8.4393,0.005631,85
simulation_4spheres_1011_v2,1011,2,3.5334,0.006883,85
simulation_4spheres_1100_v0,1100,0,6.8468,0.001756,85
simulation_4spheres_1100_v1,1100,1,5.7969,0.012948,85
simulation_4spheres_1100_v2,1100,2,6.9111,0.019025,85
simulation_4spheres_1101_v0,1101,0,7.9212,0.014142,85
simulation_4spheres_1101_v1,1101,1,3.8838,0.004886,85
simulation_4spheres_1101_v2,1101,2,7.6225,0.006663,85
simulation_4spheres_1110_v0,1110,0,8.9745,0.019893,85
simulation_4spheres_1110_v1,1110,1,3.5673,0.003806,85
simulation_4spheres_1110_v2,1110,2,4.2842,0.012650,85
simulation_4spheres_1111_v0,1111,0,6.3765,0.008237,85
simulation_4spheres_1111_v1,1111,1,4.4697,0.017151,85
simulation_4spheres_1111_v2,1111,2,6.0777,0.011422,85
