Filename,Case_Bits,Variation_ID,Soil_Er,Soil_Cond,N_Traces
simulation_4spheres_0000_v0,0000,0,8.5859,0.008508,85
simulation_4spheres_0000_v1,0000,1,7.7135,0.012958,85
simulation_4spheres_0000_v2,0000,2,5.4395,0.014166,85
simulation_4spheres_0000_v3,0000,3,3.0867,0.001437,85
simulation_4spheres_0000_v4,0000,4,7.9746,0.018189,85
simulation_4spheres_0000_v5,0000,5,3.0125,0.008633,85
simulation_4spheres_0000_v6,0000,6,7.4578,0.002342,85
simulation_4spheres_0000_v7,0000,7,8.3397,0.003169,85
simulation_4spheres_0000_v8,0000,8,8.6622,0.006417,85
simulation_4spheres_0000_v9,0000,9,8.4134,0.019466,85
simulation_4spheres_0000_v10,0000,10,4.9241,0.006605,85
simulation_4spheres_0000_v11,0000,11,4.2541,0.007823,85
simulation_4spheres_0000_v12,0000,12,6.3718,0.013411,85
simulation_4spheres_0000_v13,0000,13,3.5684,0.011682,85
simulation_4spheres_0000_v14,0000,14,3.4378,0.011326,85
simulation_4spheres_0000_v15,0000,15,5.7359,0.004164,85
simulation_4spheres_0000_v16,0000,16,4.8890,0.002897,85
simulation_4spheres_0000_v17,0000,17,5.3068,0.015335,85
simulation_4spheres_0000_v18,0000,18,8.7469,0.013434,85
simulation_4spheres_0000_v19,0000,19,5.5451,0.012033,85
simulation_4spheres_0000_v20,0000,20,3.4858,0.019759,85
simulation_4spheres_0000_v21,0000,21,4.5894,0.005951,85
simulation_4spheres_0000_v22,0000,22,5.5328,0.007562,85
simulation_4spheres_0000_v23,0000,23,7.9652,0.012091,85
simulation_4spheres_0000_v24,0000,24,7.2723,0.010242,85
simulation_4spheres_0000_v25,0000,25,8.2675,0.012026,85
simulation_4spheres_0000_v26,0000,26,7.3656,0.008072,85
simulation_4spheres_0000_v27,0000,27,4.7468,0.001229,85
simulation_4spheres_0000_v28,0000,28,6.6004,0.003730,85
simulation_4spheres_0000_v29,0000,29,8.4476,0.001855,85
simulation_4spheres_0000_v30,0000,30,7.5731,0.019162,85
simulation_4spheres_0000_v31,0000,31,8.8222,0.017807,85
simulation_4spheres_0000_v32,0000,32,5.2200,0.006757,85
simulation_4spheres_0000_v33,0000,33,3.5723,0.012593,85
