Filename,Case_Bits,Variation_ID,Soil_Er,Soil_Cond,N_Traces
simulation_4spheres_0000_v0,0000,0,6.3986,0.001577,85
simulation_4spheres_0000_v1,0000,1,8.1156,0.008044,85
simulation_4spheres_0000_v2,0000,2,7.5792,0.001763,85
simulation_4spheres_0000_v3,0000,3,6.8234,0.018214,85
simulation_4spheres_0000_v4,0000,4,3.4747,0.019164,85
simulation_4spheres_0000_v5,0000,5,6.4556,0.004443,85
simulation_4spheres_0000_v6,0000,6,6.3290,0.018771,85
simulation_4spheres_0000_v7,0000,7,6.0464,0.003020,85
simulation_4spheres_0000_v8,0000,8,3.0800,0.012254,85
simulation_4spheres_0000_v9,0000,9,6.4767,0.019005,85
simulation_4spheres_0000_v10,0000,10,6.7631,0.019380,85
simulation_4spheres_0000_v11,0000,11,6.7350,0.010078,85
simulation_4spheres_0000_v12,0000,12,5.4565,0.010376,85
simulation_4spheres_0000_v13,0000,13,7.2305,0.015441,85
simulation_4spheres_0000_v14,0000,14,7.7068,0.017233,85
simulation_4spheres_0000_v15,0000,15,8.4368,0.017991,85
simulation_4spheres_0000_v16,0000,16,6.9004,0.013551,85
simulation_4spheres_0000_v17,0000,17,7.6042,0.003442,85
simulation_4spheres_0000_v18,0000,18,8.3411,0.016403,85
simulation_4spheres_0000_v19,0000,19,7.0897,0.015273,85
simulation_4spheres_0000_v20,0000,20,3.9301,0.014882,85
simulation_4spheres_0000_v21,0000,21,5.6311,0.008865,85
simulation_4spheres_0000_v22,0000,22,3.2267,0.003739,85
simulation_4spheres_0000_v23,0000,23,6.7583,0.016779,85
simulation_4spheres_0000_v24,0000,24,8.0127,0.006807,85
simulation_4spheres_0000_v25,0000,25,8.5616,0.002800,85
simulation_4spheres_0000_v26,0000,26,3.0055,0.009147,85
simulation_4spheres_0000_v27,0000,27,5.8493,0.017589,85
simulation_4spheres_0000_v28,0000,28,4.9127,0.001575,85
simulation_4spheres_0000_v29,0000,29,5.4339,0.003340,85
simulation_4spheres_0000_v30,0000,30,6.1937,0.009031,85
simulation_4spheres_0000_v31,0000,31,3.9782,0.011309,85
simulation_4spheres_0000_v32,0000,32,4.5587,0.003982,85
simulation_4spheres_0000_v33,0000,33,7.2832,0.011605,85
simulation_4spheres_0000_v34,0000,34,6.2416,0.018485,85
simulation_4spheres_0000_v35,0000,35,5.4544,0.019287,85
simulation_4spheres_0000_v36,0000,36,7.3501,0.010393,85
simulation_4spheres_0000_v37,0000,37,5.7056,0.001825,85
simulation_4spheres_0000_v38,0000,38,4.6895,0.016936,85
simulation_4spheres_0000_v39,0000,39,5.8099,0.008647,85
simulation_4spheres_0000_v40,0000,40,4.1114,0.007211,85
simulation_4spheres_0000_v41,0000,41,7.3570,0.006801,85
simulation_4spheres_0000_v42,0000,42,4.5350,0.017233,85
simulation_4spheres_0000_v43,0000,43,6.0411,0.012385,85
simulation_4spheres_0000_v44,0000,44,8.2318,0.018999,85
simulation_4spheres_0000_v45,0000,45,8.3410,0.002837,85
simulation_4spheres_0000_v46,0000,46,6.7429,0.010639,85
simulation_4spheres_0000_v47,0000,47,6.7743,0.004012,85
simulation_4spheres_0000_v48,0000,48,3.5310,0.015763,85
simulation_4spheres_0000_v49,0000,49,5.3563,0.014209,85
simulation_4spheres_0001_v0,0001,0,3.4705,0.001793,85
simulation_4spheres_0001_v1,0001,1,6.0131,0.012531,85
simulation_4spheres_0001_v2,0001,2,5.6176,0.005363,85
simulation_4spheres_0001_v3,0001,3,8.0921,0.005078,85
simulation_4spheres_0001_v4,0001,4,7.4717,0.017899,85
simulation_4spheres_0001_v5,0001,5,3.7026,0.018680,85
simulation_4spheres_0001_v6,0001,6,3.4836,0.011756,85
simulation_4spheres_0001_v7,0001,7,3.7374,0.009733,85
simulation_4spheres_0001_v8,0001,8,5.8750,0.018751,85
simulation_4spheres_0001_v9,0001,9,5.5079,0.015779,85
simulation_4spheres_0001_v10,0001,10,8.1550,0.010688,85
simulation_4spheres_0001_v11,0001,11,3.0500,0.001838,85
simulation_4spheres_0001_v12,0001,12,8.3141,0.003177,85
simulation_4spheres_0001_v13,0001,13,6.0783,0.009796,85
simulation_4spheres_0001_v14,0001,14,3.8663,0.018824,85
simulation_4spheres_0001_v15,0001,15,6.1704,0.016351,85
simulation_4spheres_0001_v16,0001,16,6.6607,0.001109,85
simulation_4spheres_0001_v17,0001,17,7.0493,0.003500,85
simulation_4spheres_0001_v18,0001,18,7.2659,0.008316,85
simulation_4spheres_0001_v19,0001,19,5.4004,0.001179,85
simulation_4spheres_0001_v20,0001,20,4.2874,0.015792,85
simulation_4spheres_0001_v21,0001,21,6.5762,0.016869,85
simulation_4spheres_0001_v22,0001,22,4.4588,0.002814,85
simulation_4spheres_0001_v23,0001,23,8.4174,0.008614,85
simulation_4spheres_0001_v24,0001,24,7.4190,0.009294,85
simulation_4spheres_0001_v25,0001,25,5.1629,0.010129,85
simulation_4spheres_0001_v26,0001,26,5.7338,0.005904,85
simulation_4spheres_0001_v27,0001,27,3.1613,0.003485,85
simulation_4spheres_0001_v28,0001,28,3.3321,0.018406,85
simulation_4spheres_0001_v29,0001,29,4.5693,0.002798,85
simulation_4spheres_0001_v30,0001,30,6.6767,0.001087,85
simulation_4spheres_0001_v31,0001,31,8.2732,0.017855,85
simulation_4spheres_0001_v32,0001,32,6.6615,0.016467,85
simulation_4spheres_0001_v33,0001,33,8.8274,0.005949,85
simulation_4spheres_0001_v34,0001,34,7.6492,0.018173,85
simulation_4spheres_0001_v35,0001,35,4.8594,0.006361,85
simulation_4spheres_0001_v36,0001,36,3.9814,0.014107,85
simulation_4spheres_0001_v37,0001,37,6.8046,0.004850,85
simulation_4spheres_0001_v38,0001,38,3.3438,0.009120,85
simulation_4spheres_0001_v39,0001,39,8.2540,0.010746,85
simulation_4spheres_0001_v40,0001,40,3.6409,0.002610,85
