Filename,Case_Bits,Variation_ID,Soil_Er,Soil_Cond,N_Traces
simulation_4spheres_0000_v0,0000,0,6.8919,0.011764,115
simulation_4spheres_0000_v1,0000,1,3.4507,0.014625,115
simulation_4spheres_0000_v2,0000,2,5.9455,0.018699,115
simulation_4spheres_0000_v3,0000,3,8.2869,0.001799,115
simulation_4spheres_0000_v4,0000,4,8.8981,0.008589,115
simulation_4spheres_0000_v5,0000,5,5.2460,0.006946,115
simulation_4spheres_0000_v6,0000,6,5.0102,0.017661,115
simulation_4spheres_0000_v7,0000,7,7.1218,0.017864,115
simulation_4spheres_0000_v8,0000,8,7.6774,0.015232,115
simulation_4spheres_0000_v9,0000,9,5.8816,0.006152,115
simulation_4spheres_0000_v10,0000,10,4.9375,0.016788,115
simulation_4spheres_0000_v11,0000,11,3.7223,0.016728,115
simulation_4spheres_0000_v12,0000,12,4.3767,0.009769,115
simulation_4spheres_0000_v13,0000,13,3.3581,0.012094,115
simulation_4spheres_0000_v14,0000,14,4.1357,0.015294,115
simulation_4spheres_0000_v15,0000,15,4.8700,0.001259,115
simulation_4spheres_0000_v16,0000,16,6.8165,0.005164,115
simulation_4spheres_0000_v17,0000,17,6.6515,0.005624,115
simulation_4spheres_0000_v18,0000,18,6.1356,0.005328,115
simulation_4spheres_0000_v19,0000,19,5.0132,0.004210,115
simulation_4spheres_0000_v20,0000,20,3.0234,0.009467,115
simulation_4spheres_0000_v21,0000,21,4.7818,0.009585,115
simulation_4spheres_0000_v22,0000,22,6.5966,0.003727,115
simulation_4spheres_0000_v23,0000,23,5.6100,0.013337,115
simulation_4spheres_0000_v24,0000,24,3.6981,0.011458,115
simulation_4spheres_0000_v25,0000,25,6.9484,0.011075,115
simulation_4spheres_0000_v26,0000,26,3.6990,0.018322,115
simulation_4spheres_0000_v27,0000,27,7.5637,0.012625,115
simulation_4spheres_0000_v28,0000,28,5.6471,0.017642,115
simulation_4spheres_0000_v29,0000,29,4.4127,0.001684,115
simulation_4spheres_0000_v30,0000,30,8.8443,0.002188,115
simulation_4spheres_0000_v31,0000,31,7.6705,0.013264,115
simulation_4spheres_0000_v32,0000,32,4.5318,0.006005,115
simulation_4spheres_0000_v33,0000,33,7.6299,0.010620,115
simulation_4spheres_0000_v34,0000,34,7.7818,0.008442,115
simulation_4spheres_0000_v35,0000,35,7.9938,0.004163,115
simulation_4spheres_0000_v36,0000,36,6.7428,0.016401,115
simulation_4spheres_0000_v37,0000,37,4.3970,0.009534,115
simulation_4spheres_0000_v38,0000,38,3.1090,0.014302,115
simulation_4spheres_0000_v39,0000,39,6.2283,0.011554,115
simulation_4spheres_0000_v40,0000,40,6.4442,0.009972,115
simulation_4spheres_0000_v41,0000,41,5.1450,0.011348,115
simulation_4spheres_0000_v42,0000,42,5.1793,0.010609,115
simulation_4spheres_0000_v43,0000,43,8.1727,0.011778,115
simulation_4spheres_0000_v44,0000,44,5.9450,0.017571,115
simulation_4spheres_0000_v45,0000,45,4.6725,0.019044,115
simulation_4spheres_0000_v46,0000,46,6.3581,0.003971,115
simulation_4spheres_0000_v47,0000,47,3.1456,0.009153,115
simulation_4spheres_0000_v48,0000,48,7.2271,0.019187,115
