scene_id,infile,n_blocks,blocks_coords,frequency_hz,tx_pos,rx_pos,n_traces,mute_ns,merged_outfile,png_file,timestamp
scene_0001,scene_0001.in,1,"(1.539,0.714,1.642,0.880)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0001_merged.out,,2025-10-15 13:22:10
scene_0002,scene_0002.in,1,"(1.820,0.374,1.946,0.509)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0002_merged.out,,2025-10-15 13:22:20
scene_0003,scene_0003.in,2,"(1.452,0.351,1.569,0.451); (1.444,0.369,1.533,0.451)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0003_merged.out,,2025-10-15 13:32:37
scene_0004,scene_0004.in,2,"(0.543,0.620,0.608,0.809); (0.539,0.546,0.700,0.743)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0004_merged.out,,2025-10-15 13:32:59
scene_0005,scene_0005.in,4,"(3.591,0.437,3.720,0.562); (3.463,0.435,3.636,0.505); (3.519,0.421,3.705,0.576); (3.635,0.443,3.733,0.532)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0005_merged.out,,2025-10-15 13:43:05
scene_0006,scene_0006.in,2,"(1.107,0.590,1.291,0.738); (1.283,0.501,1.421,0.645)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0006_merged.out,,2025-10-15 13:43:27
scene_0007,scene_0007.in,4,"(1.475,0.622,1.642,0.787); (1.428,0.738,1.669,0.888); (1.399,0.715,1.574,0.779); (1.347,0.707,1.593,0.890)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0007_merged.out,,2025-10-15 13:53:32
scene_0008,scene_0008.in,3,"(3.906,0.521,4.015,0.717); (3.846,0.379,4.065,0.529); (3.995,0.437,4.216,0.604)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0008_merged.out,,2025-10-15 13:54:08
scene_0009,scene_0009.in,3,"(3.390,0.432,3.522,0.595); (3.425,0.464,3.494,0.577); (3.421,0.420,3.633,0.478)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0009_merged.out,,2025-10-15 14:05:44
scene_0010,scene_0010.in,5,"(2.185,0.474,2.248,0.646); (2.169,0.421,2.383,0.610); (2.146,0.505,2.361,0.687); (2.029,0.609,2.230,0.707); (2.072,0.590,2.217,0.746)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0010_merged.out,,2025-10-15 14:07:24
scene_0011,scene_0011.in,1,"(3.908,0.573,3.969,0.755)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0011_merged.out,,2025-10-15 14:18:08
scene_0012,scene_0012.in,2,"(2.886,0.478,3.122,0.577); (2.727,0.513,2.916,0.593)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0012_merged.out,,2025-10-15 14:18:41
scene_0013,scene_0013.in,3,"(3.953,0.392,4.071,0.462); (4.064,0.436,4.248,0.505); (4.024,0.450,4.124,0.580)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0013_merged.out,,2025-10-15 14:28:52
scene_0014,scene_0014.in,2,"(3.217,0.805,3.343,0.933); (3.317,0.721,3.417,0.874)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0014_merged.out,,2025-10-15 14:29:35
scene_0015,scene_0015.in,4,"(1.825,0.384,1.879,0.572); (1.711,0.351,1.911,0.551); (1.772,0.364,2.021,0.468); (1.712,0.418,1.904,0.515)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0015_merged.out,,2025-10-15 14:39:33
scene_0016,scene_0016.in,3,"(0.829,0.793,1.018,0.924); (0.742,0.670,0.982,0.853); (0.667,0.817,0.903,0.930)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0016_merged.out,,2025-10-15 14:40:11
scene_0017,scene_0017.in,2,"(0.727,0.598,0.879,0.756); (0.707,0.719,0.903,0.783)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0017_merged.out,,2025-10-15 14:50:33
scene_0018,scene_0018.in,4,"(2.909,0.354,3.118,0.536); (2.845,0.440,2.955,0.588); (2.902,0.441,3.020,0.616); (2.795,0.453,2.942,0.523)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0018_merged.out,,2025-10-15 14:51:11
scene_0019,scene_0019.in,2,"(1.108,0.367,1.172,0.448); (0.943,0.404,1.135,0.550)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0019_merged.out,,2025-10-15 15:01:23
scene_0020,scene_0020.in,4,"(3.804,0.494,3.858,0.654); (3.840,0.560,4.038,0.615); (3.842,0.408,4.060,0.579); (3.750,0.572,3.985,0.677)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0020_merged.out,,2025-10-15 15:02:03
scene_0021,scene_0021.in,2,"(4.102,0.592,4.235,0.751); (3.998,0.523,4.129,0.710)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0021_merged.out,,2025-10-15 15:12:05
scene_0022,scene_0022.in,2,"(2.811,0.708,2.885,0.869); (2.760,0.698,2.912,0.788)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0022_merged.out,,2025-10-15 15:12:49
scene_0023,scene_0023.in,5,"(0.725,0.436,0.972,0.595); (0.864,0.590,1.097,0.675); (0.881,0.462,1.050,0.596); (0.784,0.590,0.909,0.694)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0023_merged.out,,2025-10-15 15:22:42
scene_0024,scene_0024.in,2,"(1.439,0.707,1.640,0.904); (1.454,0.709,1.598,0.835)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0024_merged.out,,2025-10-15 15:23:25
scene_0025,scene_0025.in,3,"(2.882,0.676,3.030,0.847); (2.974,0.708,3.215,0.794); (2.818,0.750,2.979,0.848)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0025_merged.out,,2025-10-15 15:33:27
scene_0026,scene_0026.in,5,"(1.131,0.610,1.335,0.793); (1.082,0.540,1.220,0.730); (0.962,0.699,1.209,0.886); (1.071,0.613,1.139,0.754); (0.965,0.558,1.193,0.739)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0026_merged.out,,2025-10-15 15:34:13
