scene_id,infile,n_blocks,blocks_coords,frequency_hz,tx_pos,rx_pos,n_traces,mute_ns,merged_outfile,png_file,timestamp
scene_0001_t0000,scene_0001_t0000.in,1,"(1.539,0.714,1.642,0.880)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",1,1.0,scene_0001_t0000.out,,2025-11-25 23:55:04
scene_0001_t0001,scene_0001_t0001.in,1,"(1.557,0.714,1.661,0.880)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",1,1.0,scene_0001_t0001.out,,2025-11-25 23:55:04
scene_0001_t0003,scene_0001_t0003.in,1,"(1.593,0.714,1.697,0.880)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",1,1.0,scene_0001_t0003.out,,2025-11-25 23:55:06
scene_0001_t0002,scene_0001_t0002.in,1,"(1.575,0.714,1.679,0.880)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",1,1.0,scene_0001_t0002.out,,2025-11-25 23:55:06
scene_0001_t0005,scene_0001_t0005.in,1,"(1.629,0.714,1.732,0.880)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",1,1.0,scene_0001_t0005.out,,2025-11-25 23:55:09
scene_0001_t0004,scene_0001_t0004.in,1,"(1.611,0.714,1.715,0.880)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",1,1.0,scene_0001_t0004.out,,2025-11-25 23:55:09
scene_0001_t0006,scene_0001_t0006.in,1,"(1.646,0.714,1.749,0.880)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",1,1.0,scene_0001_t0006.out,,2025-11-25 23:55:11
scene_0001_t0007,scene_0001_t0007.in,1,"(1.662,0.714,1.766,0.880)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",1,1.0,scene_0001_t0007.out,,2025-11-25 23:55:11
scene_0001_t0009,scene_0001_t0009.in,1,"(1.695,0.714,1.799,0.880)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",1,1.0,scene_0001_t0009.out,,2025-11-25 23:55:14
scene_0001_t0008,scene_0001_t0008.in,1,"(1.679,0.714,1.782,0.880)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",1,1.0,scene_0001_t0008.out,,2025-11-25 23:55:14
